credential_id,requested_by,status,started_at,completed_at,verification_status,details
1,cron_worker,completed,2026-03-12T00:00:00Z,2026-03-12T00:00:00Z,passed,Password rotation completed for CockroachDB (Sanjay Verma)
1,admin,failed,2026-02-27T00:00:00Z,2026-02-27T00:00:00Z,failed,Password rotation failed for CockroachDB (Sanjay Verma)
2,cron_worker,failed,2026-02-25T00:00:00Z,2026-02-25T00:00:00Z,failed,Password rotation failed for Redis (Priya Sharma)
2,Priya Sharma,timeout,2026-03-08T00:00:00Z,,failed,Password rotation timeout for Redis (Priya Sharma)
2,cron_worker,completed,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,passed,Password rotation completed for Redis (Priya Sharma)
3,admin,completed,2026-02-27T00:00:00Z,2026-02-27T00:00:00Z,passed,Password rotation completed for Oracle (Meera Joshi)
3,Meera Joshi,completed,2026-06-18T00:00:00Z,2026-06-18T00:00:00Z,passed,Password rotation completed for Oracle (Meera Joshi)
3,admin,completed,2026-03-10T00:00:00Z,2026-03-10T00:00:00Z,passed,Password rotation completed for Oracle (Meera Joshi)
4,admin,completed,2026-07-14T00:00:00Z,2026-07-14T00:00:00Z,passed,Password rotation completed for SQL Server (Priya Sharma)
4,admin,completed,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,passed,Password rotation completed for SQL Server (Priya Sharma)
5,admin,failed,2026-08-04T00:00:00Z,2026-08-04T00:00:00Z,failed,Password rotation failed for CockroachDB (Pooja Mishra)
5,system,completed,2026-03-02T00:00:00Z,2026-03-02T00:00:00Z,passed,Password rotation completed for CockroachDB (Pooja Mishra)
5,cron_worker,completed,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,passed,Password rotation completed for CockroachDB (Pooja Mishra)
6,system,completed,2026-03-10T00:00:00Z,2026-03-10T00:00:00Z,passed,Password rotation completed for MySQL (Sanjay Verma)
7,system,completed,2026-06-03T00:00:00Z,2026-06-03T00:00:00Z,passed,Password rotation completed for Redis (Rohit Kumar)
7,cron_worker,completed,2026-05-24T00:00:00Z,2026-05-24T00:00:00Z,passed,Password rotation completed for Redis (Rohit Kumar)
7,admin,completed,2026-06-22T00:00:00Z,2026-06-22T00:00:00Z,passed,Password rotation completed for Redis (Rohit Kumar)
8,Rohit Kumar,completed,2026-04-23T00:00:00Z,2026-04-23T00:00:00Z,passed,Password rotation completed for MongoDB (Rohit Kumar)
8,cron_worker,completed,2026-03-17T00:00:00Z,2026-03-17T00:00:00Z,passed,Password rotation completed for MongoDB (Rohit Kumar)
10,Lakshmi Menon,completed,2026-06-11T00:00:00Z,2026-06-11T00:00:00Z,passed,Password rotation completed for SQL Server (Lakshmi Menon)
11,cron_worker,failed,2026-05-16T00:00:00Z,2026-05-16T00:00:00Z,failed,Password rotation failed for MySQL (Rohit Kumar)
11,admin,failed,2026-07-25T00:00:00Z,2026-07-25T00:00:00Z,failed,Password rotation failed for MySQL (Rohit Kumar)
12,system,completed,2026-03-28T00:00:00Z,2026-03-28T00:00:00Z,passed,Password rotation completed for MariaDB (Pooja Mishra)
12,admin,completed,2026-07-28T00:00:00Z,2026-07-28T00:00:00Z,passed,Password rotation completed for MariaDB (Pooja Mishra)
